table,fig,section,name,translation,carpet,type,note
38,3,,Сырыг,Стеганка,Мугань,Кар.,"Встречается в узоре одеяла, бохча, сюзени, джанамаз, стеганки."
38,4,,Килимгюлю,Килимовый цветок,Карабах,Кар.,
38,5,,Фетир,Сдобный хлеб,Мугань,Кар.,"Напоминает узор, который встречается на хлебе."
39,1,,Яйлыг,гюлю Цветок платковый,Гянджа,Г.-К,"Этот элемент называется также «Алты-юм», что означает шестиузловый."
39,2,,Баджа,Дымовая труба,Карабах,Кар.,
39,3,,Баджа,Дымовая труба,Карабах,Кар.,
39,4,,Джыгга,?,Ширван,К.-Ш,Украшение в виде наконечника.
39,5,,Хал,Пятно Биджо К.-Ш Этот элемент называется также,«чар-пазы»,—,крестообразный.
39,6,,Гюлюйайлыг,Платок с цветами,гырыз,К.-Ш,Встречается в декоре каламкара (набойки).
39,7,,Гюль,Цветок,Куба,К.-Ш,
39,8,,Гюль,Цветок,Куба,К.-Ш,
39,9,,Гюлюйайлыг,Платок с цветами,Гырыз,К.-Ш,Встречается также в декоре каламкара.
39,10,,Алма,Яблоко,Куба,К.-Ш,"Напоминает головы четырех животных, изображенных симметрично."
40,1,,Нахыш,Узор,Хан-Карабах,Кар.,
40,2,,Дамга,Клеймо,Куба,К.-Ш,
40,3,,Гапы,нахышы Узор,Гянджа,Г.-К,
40,4,,Сермә,Орнаментальный мотив,Сальян,К.-Ш,Подразумевается переплетение.
40,5,,Гяламдан,Пенал,Фахралы,Г.-К,"Мотив, напоминающий по форме «кетебэ» в Иранском Азербайджане называют «пеналом»."
40,6,,?,,Мугань,Кар.,
40,7,,Пенджере,Окно,Ширван,К.-Ш,"Называется также «шебеке», т. е. решетка"
40,8,,Сини,Поднос,Казах,Г.-К,Небольшой медальон «кетебэ».
40,9,,Пенджере,Окно,Ширван,К.-Ш,
40,10,,Гёбялек,Гриб,Хан-Карабах,Кар.,Сильно стилизованный цветочный элемент.
40,11,,Сюзенинахыш,Узор сюзени,Кюрд,Кар.,Вышитая ткань.
40,12,,?,,Арджиман,К.-Ш,Иногда встречается в карабахских коврах и в ковре «Шахназарли».
41,1,,Нар,Гранат,Ширван,К.-Ш,"Можно предполагать, что это разрезанный гранат."
41,2,,Ширни,Леденец,Карабах,Кар.,
41,3,,Ширни,Леденец,Карабах,Кар.,
41,4,,Улдузлу,Звездный,Ширван,К.-Ш,
41,5,,Беюк,хал Большое пятно,Биджо,К.-Ш,
41,6,,Ичигыйнаг,Узор с крючками,Куба,К.-Ш,
42,1,,Чорек,Чурек,Казах,Г.-К,Напоминает форму сдобного хлебца.
42,2,,Нишан,Значок,Пиребедиль,К.-Ш,
42,3,,?,,Казах,Г.-К,Встречается также в ковре «Кюрд»
42,4,,?,,Карабах,Кар.,Встречается в древнегреческом архитектурном декоре.
42,5,,Кәлбетин,Щипцы,Ширван,К.-Ш,Называется также «железными щипцами».
